Node(Gold),Score,#1st neighbors,#2nd neighbors,#3rd neighbors
N327,1250724.75,441,1494747,0
N154,1651252.75,398,2154684,0
N2361,1782865.25,586,2231920,0
N3072,1190216.375,447,1497900,0
N3071,782282.75,333,1011192,0
N1278,1709018.875,567,2053917,0
N1994,1720084.875,567,2068860,0
N2076,1273939.0,442,1526709,0
N2077,1314582.0,453,1585778,0
N2985,1497773.125,386,1874199,0
N1987,2325443.125,561,2817585,0
N1982,1312698.375,472,1748714,0
N854,2000330.625,438,2429610,0
N2568,1320442.0,454,1594199,0
N2569,1321519.75,473,1761087,0
N1538,2051996.125,452,2492471,0
N1293,1261788.75,442,1510490,0
N1575,2079233.875,463,2536760,0
N709,1254873.75,442,1500552,0
N275,1698080.125,585,2203853,0
N259,1289022.875,452,1550298,0
N1596,2032273.375,451,2470856,0
N2442,1645892.75,415,2052495,0
N2804,1324768.0,455,1599876,0
N2807,1325955.75,475,1767129,0
N2806,1733207.875,588,2252706,0
N2185,1780180.5,585,2228125,0
N1153,1261050.0,461,1674637,0
N822,1256501.75,442,1502576,0
N2087,1676084.5,405,2210722,0
N144,1643554.5,379,1980260,0
N391,2034262.25,505,2469279,0
N1505,1305987.75,472,1740030,0
N1177,1698399.75,379,2075126,0
N1507,2101859.875,464,2561332,0
N1261,2063849.25,460,2659917,0
N1262,1661111.75,374,2022267,0
N1263,2063387.0,441,2493701,0
N903,1258622.0,461,1671341,0
N1913,1270467.25,442,1521984,0
N51,1080453.625,359,1385712,0
N2799,1324445.25,455,1599473,0
N2317,1616737.875,393,2125327,0
N2555,1280454.75,462,1701620,0
N2793,1284503.5,463,1706906,0
N2792,1284288.25,463,1706501,0
N792,2394094.0,565,3066275,0
N2245,1832919.0,434,2221067,0
