Node(Gold),Score,#1st neighbors,#2nd neighbors,#3rd neighbors
N304,1698793.625,585,2204965,0
N1284,2106494.0,473,2722216,0
N1608,2122406.25,524,2753069,0
N300,1627533.125,435,2149205,0
N171,2108712.625,525,2711846,0
N572,1253205.25,442,1498399,0
N1320,1303565.75,472,1736537,0
N309,1756203.5,584,2194928,0
N1900,1656198.125,383,2015213,0
N1285,1262243.25,461,1676503,0
N3416,285685.25,60,356727,0
N675,1941595.625,444,2527708,0
N3393,291567.75,60,363926,0
N1510,2060857.625,473,2667841,0
N3099,783454.25,333,1013007,0
N1517,1713313.875,567,2060193,0
N3097,1058815.75,263,1350369,0
N3096,1059314.25,263,1350833,0
N3015,1188522.125,446,1495480,0
N788,1943994.375,421,2353222,0
N839,1256894.0,442,1503049,0
N28,1246592.0,441,1488974,0
N1219,753965.25,329,972065,0
N3013,1040828.75,258,1318670,0
N467,1293044.75,453,1556183,0
N468,1253039.5,442,1498053,0
N27,1246812.625,460,1654841,0
N784,1256300.75,461,1668119,0
N1840,2382627.0,567,2891807,0
N1287,2066311.75,462,2663975,0
N2063,1273606.625,461,1691627,0
N272,1289398.75,452,1550811,0
N89,1616984.5,396,2111135,0
N1132,2481256.0,580,3167599,0
N432,1251920.0,442,1496561,0
N766,2387541.5,565,3058939,0
N2821,2091692.625,535,2689412,0
N763,748420.875,329,964618,0
N2826,1641617.75,391,1976878,0
N1932,1653352.25,401,2176729,0
N1933,1938755.375,468,2522986,0
N603,1254319.5,461,1665361,0
N1632,1307983.25,472,1742399,0
N2430,1319040.5,454,1592237,0
N2431,1726943.5,568,2078737,0
N1839,1935825.625,461,2514446,0
N1631,1714474.875,567,2061550,0
N3088,783175.25,333,1012609,0
N3089,1062185.5,263,1354203,0
N2229,1838062.75,454,2392839,0
N1525,1306179.25,453,1574564,0
N3083,1190504.375,447,1498289,0
N809,1256090.25,442,1502102,0
N3006,780628.75,332,1008884,0
N1835,1937077.125,442,2350273,0
N2331,2221453.5,564,2849096,0
N2330,1655115.875,404,2181554,0
N2133,1630045.75,394,2144196,0
N30,1587885.0,372,1907873,0
N1204,2048364.375,439,2476276,0
N1663,760518.0,329,981206,0
N2537,1785136.5,586,2235256,0
N1149,753005.5,329,970806,0
N1148,1259411.75,442,1506750,0
N360,1747164.5,413,2274978,0
N1279,1262077.0,461,1676167,0
N1141,2074976.625,466,2683528,0
N2293,1316609.25,472,1754252,0
N91,1618673.0,396,2113087,0
N1147,1259748.75,461,1672775,0
N899,1258347.0,461,1670738,0
N753,2064434.875,507,2673156,0
N113,1530678.125,379,1911071,0
N204,1718513.75,396,2082492,0
N1362,1263878.0,461,1678825,0
N617,1911581.375,424,2325190,0
N3432,280748.5,60,351050,0
N811,1991842.375,453,2585510,0
N280,1290157.75,452,1551906,0
N1785,1268658.5,442,1519655,0
N1135,1299666.25,472,1730940,0
N449,1833659.875,411,2226795,0
N2324,1725250.875,586,2241602,0
N2134,1669490.875,386,2035841,0
N444,2034818.75,513,2635774,0
N2321,1316876.75,472,1754683,0
N2322,1276823.25,461,1696480,0
N626,1916906.875,443,2497450,0
N2192,1850460.0,456,2407428,0
N2191,2074440.5,501,2517086,0
N625,1916430.875,443,2496733,0
N359,1587741.625,407,2090847,0
N425,1292627.75,472,1721170,0
N1151,1301013.125,472,1732805,0
N352,1292420.25,471,1720814,0
N1929,1271316.25,461,1688777,0
N1157,2037914.625,456,2628578,0
N2614,1701652.0,423,2214846,0
N2531,2169588.875,535,2618718,0
N105,1624688.75,378,1955179,0
N2617,2194090.25,700,2723004,0
N3368,98752.25,143,126634,0
N1954,723758.5,318,927563,0
N1793,1309411.0,453,1578719,0
N2250,1723842.625,586,2239774,0
N2618,1729937.375,587,2247979,0
N1794,1309684.75,453,1579168,0
N291,1758134.5,420,2297707,0
N2048,1721186.375,586,2235907,0
N2205,1805438.5,444,2343362,0
N2201,1275519.25,461,1694619,0
N3309,98482.0,143,126129,0
N458,705200.25,318,901858,0
N1797,1996904.875,471,2599497,0
N1200,2107212.625,495,2563238,0
N1541,2091979.375,463,2550574,0
N2357,1724950.875,567,2075655,0
N636,1254728.5,461,1665830,0
N639,1504672.375,359,1896581,0
N2992,780339.0,332,1008491,0
N344,1780493.75,405,2158979,0
N134,1288931.5,471,1715685,0
N1965,1271246.375,442,1523176,0
N226,1288593.25,452,1549689,0
N1809,1718473.625,586,2232158,0
N2051,1851905.125,432,2239477,0
N3347,333363.625,52,418958,0
N2215,1294715.25,312,1636141,0
N3058,741531.25,322,952166,0
N3016,781213.0,332,1009916,0
N3051,741167.5,322,951783,0
N1319,1262798.75,461,1677438,0
N1886,1311160.0,472,1746640,0
N508,1858173.125,434,2424101,0
N1552,2047075.625,452,2487102,0
N1553,2047240.375,471,2652942,0
N2344,1769853.5,420,2134103,0
N1551,1673887.75,398,2206896,0
N2865,1325913.25,456,1601566,0
N2018,1641907.0,378,1995248,0
N2019,1862591.625,434,2254354,0
N404,1811352.75,428,2363927,0
N339,1251624.75,460,1661580,0
N120,1633187.25,378,1966259,0
N1243,1153381.625,259,1483879,0
N1762,1308753.5,453,1577826,0
N1863,1966762.875,451,2395275,0
N2067,1779187.0,585,2226704,0
N2065,1890036.625,462,2460325,0
N2064,1313620.5,453,1584343,0
N78,1695640.0,585,2200666,0
N79,1753033.25,584,2190630,0
N840,2170545.875,699,2690277,0
N1164,2039289.375,456,2630563,0
N1163,1657442.0,368,2015684,0
N1588,1266940.25,461,1682862,0
N714,2367425.0,563,3035805,0
N2081,1886025.625,461,2454364,0
N1346,1262734.5,442,1511888,0
N2834,1325528.25,456,1601060,0
N652,1295570.375,472,1725056,0
