Node(Gold),Score,#1st neighbors,#2nd neighbors,#3rd neighbors
N246,1850949.5,241,2129246,0
N711,2488562.125,300,2787014,0
N556,2306378.875,269,2642243,0
N204,2329597.0,285,2610005,0
N326,2281251.625,248,2607035,0
N614,1966211.75,251,2258272,0
N66,1790890.25,228,2062012,0
N461,2597819.625,310,2968012,0
N466,2205057.375,245,2473296,0
N225,2146386.625,278,2431555,0
N408,2180770.125,244,2444318,0
N86,2226813.125,234,2548578,0
N230,2255847.625,275,2529132,0
N549,1798394.25,230,2074015,0
N353,1904890.625,245,2191327,0
N103,2105334.5,271,2419361,0
N668,1969046.375,260,2206133,0
N316,1324030.5,177,1556127,0
N296,2195606.375,234,2515678,0
N391,2541448.125,312,2848271,0
N14,1701466.375,184,1916363,0
N694,1830281.875,233,2112020,0
