Node(Gold),Score,#1st neighbors,#2nd neighbors,#3rd neighbors
N579,0,0,0,0
N1282,0,0,0,0
N1126,0,0,0,0
N1321,0,0,0,0
N267,0,0,0,0
N1323,0,0,0,0
N2703,0,0,0,0
N674,0,0,0,0
N1688,0,0,0,0
N1270,0,0,0,0
N778,0,0,0,0
N1845,0,0,0,0
N389,0,0,0,0
N2421,0,0,0,0
N2154,0,0,0,0
N2382,0,0,0,0
N1868,0,0,0,0
N1219,0,0,0,0
N1196,0,0,0,0
N2014,0,0,0,0
N830,0,0,0,0
N1607,0,0,0,0
N25,0,0,0,0
N2011,0,0,0,0
N1031,0,0,0,0
N2440,0,0,0,0
N1333,0,0,0,0
N1330,0,0,0,0
N274,0,0,0,0
N2823,0,0,0,0
N1936,0,0,0,0
N763,0,0,0,0
N807,0,0,0,0
N1635,0,0,0,0
N2402,0,0,0,0
N1440,0,0,0,0
N1529,0,0,0,0
N2636,0,0,0,0
N1448,0,0,0,0
N1449,0,0,0,0
N1044,0,0,0,0
N1209,0,0,0,0
N1206,0,0,0,0
N2339,0,0,0,0
N1149,0,0,0,0
N98,0,0,0,0
N365,0,0,0,0
N2632,0,0,0,0
N196,0,0,0,0
N950,0,0,0,0
N1944,0,0,0,0
N113,0,0,0,0
N590,0,0,0,0
N285,0,0,0,0
N1789,0,0,0,0
N1625,0,0,0,0
N1436,0,0,0,0
N2602,0,0,0,0
N1533,0,0,0,0
N1703,0,0,0,0
N2329,0,0,0,0
N2442,0,0,0,0
N2523,0,0,0,0
N1230,0,0,0,0
N1159,0,0,0,0
N2200,0,0,0,0
N1016,0,0,0,0
N1152,0,0,0,0
N354,0,0,0,0
N942,0,0,0,0
N1957,0,0,0,0
N1954,0,0,0,0
N1798,0,0,0,0
N2844,0,0,0,0
N2043,0,0,0,0
N11,0,0,0,0
N1426,0,0,0,0
N2049,0,0,0,0
N1384,0,0,0,0
N1228,0,0,0,0
N1380,0,0,0,0
N458,0,0,0,0
N1657,0,0,0,0
N696,0,0,0,0
N2451,0,0,0,0
N2126,0,0,0,0
N1544,0,0,0,0
N1542,0,0,0,0
N2346,0,0,0,0
N639,0,0,0,0
N2398,0,0,0,0
N361,0,0,0,0
N1003,0,0,0,0
N2588,0,0,0,0
N133,0,0,0,0
N130,0,0,0,0
N1807,0,0,0,0
N976,0,0,0,0
N138,0,0,0,0
N1962,0,0,0,0
N224,0,0,0,0
N1960,0,0,0,0
N2686,0,0,0,0
N2504,0,0,0,0
N60,0,0,0,0
N2215,0,0,0,0
N2740,0,0,0,0
N2217,0,0,0,0
N502,0,0,0,0
N1841,0,0,0,0
N872,0,0,0,0
N1063,0,0,0,0
N2302,0,0,0,0
N1554,0,0,0,0
N2110,0,0,0,0
N1097,0,0,0,0
N90,0,0,0,0
N2115,0,0,0,0
N235,0,0,0,0
N233,0,0,0,0
N1070,0,0,0,0
N239,0,0,0,0
N2515,0,0,0,0
N2868,0,0,0,0
N1215,0,0,0,0
N486,0,0,0,0
N484,0,0,0,0
N963,0,0,0,0
N1975,0,0,0,0
N1755,0,0,0,0
N1243,0,0,0,0
N1880,0,0,0,0
N2770,0,0,0,0
N2775,0,0,0,0
N2060,0,0,0,0
N1509,0,0,0,0
N1569,0,0,0,0
N2576,0,0,0,0
N1059,0,0,0,0
N1674,0,0,0,0
N2579,0,0,0,0
N2084,0,0,0,0
N1107,0,0,0,0
N2086,0,0,0,0
N1347,0,0,0,0
N2080,0,0,0,0
N1102,0,0,0,0
N555,0,0,0,0
N557,0,0,0,0
N1067,0,0,0,0
N1949,0,0,0,0
N655,0,0,0,0
N499,0,0,0,0
N2762,0,0,0,0
N152,0,0,0,0
N51,0,0,0,0
N490,0,0,0,0
N157,0,0,0,0
N2586,0,0,0,0
N43,0,0,0,0
N42,0,0,0,0
N325,0,0,0,0
N322,0,0,0,0
N994,0,0,0,0
N1171,0,0,0,0
N2565,0,0,0,0
N320,0,0,0,0
N998,0,0,0,0
N2273,0,0,0,0
N1663,0,0,0,0
N1294,0,0,0,0
N548,0,0,0,0
N1590,0,0,0,0
N2098,0,0,0,0
N2658,0,0,0,0
N2490,0,0,0,0
N2715,0,0,0,0
N1697,0,0,0,0
N143,0,0,0,0
N2655,0,0,0,0
N2161,0,0,0,0
N1504,0,0,0,0
N2164,0,0,0,0
N1757,0,0,0,0
N907,0,0,0,0
N906,0,0,0,0
N2390,0,0,0,0
N900,0,0,0,0
N417,0,0,0,0
N2554,0,0,0,0
N2791,0,0,0,0
N2007,0,0,0,0
N1612,0,0,0,0
N1615,0,0,0,0
N2787,0,0,0,0
