partnum,Negative,Positive,Total,num_vruddhi,not_vruddhi,not_sure_vruddhi,Edges
part29,22,68,3181,370,2235,576,4230841
part2,77,198,2874,1398,1073,208,2087128,195,53
part15,98,475,3141,1302,1195,644,3375481
part23,252,74,3433,2292,139,1002,2687433
part26,116,64,2671,205,2159,219,2892059
