Part#,<<,Vruddhi,>>,Non vruddhi,>>,Confused,Total
 ,Seed_Gold,Seed_Doubt,Seed_Gold,Seed_Doubt,Seed_Gold,Seed_Doubt,Edges
2,0,156426,0,85376,0,129646,2087128
15,28896,104384,5415,59451,560,9488,3375481
23,3778,108877,3270,0,1038,36473,2687433
26,744,3600,40820,222950,7510,39830,2892059
29,1260,8940,9660,67340,11146,77872,4230841
