+---	Nodes in Step 2	---+

+-------+------+-------+-------+--------+------------+-----------+--------------+
| Part# | +--  | Seeds |  --+  |   +-   | Gold label |     -+    | Total unique |
+-------+------+-------+-------+--------+------------+-----------+--------------+
|       |  L1  |   L2  | Total | L1gold |   L2gold   | Totalgold |    nodes     |
|   1   |  7   |   8   |   12  |   0    |     3      |     3     |      15      |
|   2   | 2481 |  2583 |  2661 |   92   |     18     |    110    |     2771     |
|   3   |  85  |   86  |   97  |   52   |     4      |     56    |     153      |
|   4   |  9   |   10  |   16  |   8    |     1      |     9     |      25      |
|   6   | 281  |  292  |  297  |   0    |     5      |     5     |     302      |
|   7   | 127  |  127  |  138  |   90   |     3      |     93    |     231      |
|   8   | 601  |  607  |  618  |   4    |     6      |     10    |     628      |
|   9   | 505  |  510  |  560  |   11   |     12     |     23    |     583      |
|   11  | 273  |  292  |  300  |   2    |     6      |     8     |     308      |
|   13  |  16  |   58  |   59  |   0    |     11     |     11    |      70      |
|   14  |  23  |   33  |   37  |   0    |     4      |     4     |      41      |
|   15  | 2651 |  2667 |  2751 |   15   |    375     |    390    |     3141     |
|   16  |  62  |   67  |   69  |   0    |     2      |     2     |      71      |
|   17  | 176  |  177  |  186  |   21   |     2      |     23    |     209      |
|   19  | 337  |  336  |  361  |   5    |     5      |     10    |     371      |
|   20  | 394  |  400  |  433  |   6    |    450     |    456    |     889      |
|   21  |  46  |   46  |   54  |   2    |     2      |     4     |      58      |
|   23  | 3166 |  3164 |  3224 |  192   |     17     |    209    |     3433     |
|   25  |  54  |   74  |   76  |   0    |     6      |     6     |      82      |
|   26  | 2458 |  2459 |  2515 |   60   |     8      |     68    |     2583     |
|   27  |  34  |   38  |   40  |   0    |     2      |     2     |      42      |
|   28  |  25  |   25  |   36  |   4    |     3      |     7     |      43      |
|   29  | 3109 |  3140 |  3159 |   4    |     18     |     22    |     3181     |
|   30  | 142  |  150  |  161  |   3    |     5      |     8     |     169      |
+-------+------+-------+-------+--------+------------+-----------+--------------+
