Part#,>>,Vruddhi,>>,Non vruddhi,>>,Confused,+------,Total,------+,Total
 ,L1,L2,L1,L2,L1,L2,Vruddhi,NV,Confused,Seeds
2,7,167,64,0,6,31,1073,1398,208,275
15,46,324,42,110,10,41,1302,1195,644,573
23,85,63,139,0,28,11,2292,139,1002,326
26,5,20,107,40,4,4,205,2159,219,180
29,12,21,5,33,5,14,370,2235,576,90
