Node(Unlabel),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N14,63975.75,47089.0,37,32,69493,47737,0,0
N781,122465.75,84669.375,73,46,134253,89543,0,0
N959,128630.0,91059.125,77,49,137596,96094,0,0
N1450,145583.75,104077.125,84,65,154581,109015,0,0
N131,75903.75,52928.0,42,35,85741,54194,0,0
N3412,55002.75,38148.625,34,21,59825,42584,0,0
N375,93943.125,64699.0,54,39,105683,67491,0,0
N3147,73131.75,51391.75,44,29,72530,51970,0,0
N719,60399.75,34198.75,40,19,73398,39711,0,0
N1228,140115.375,99847.75,82,55,149148,104962,0,0
N2380,112831.5,80371.75,67,48,115402,81815,0,0
N1298,142053.75,101398.25,81,59,151113,106514,0,0
N2128,125905.875,89376.375,74,54,130351,91408,0,0
N99,72486.5,51062.75,41,34,81314,52101,0,0
N2520,106359.5,75893.5,64,45,108254,77297,0,0
N1381,143990.375,102981.875,83,62,153041,108064,0,0
N2222,67234.375,43332.875,45,29,76769,50510,0,0
N1105,66879.75,37489.5,44,21,81456,44033,0,0
N3137,73674.75,51803.5,44,29,73104,52418,0,0
N3036,79320.0,56228.75,48,31,78999,56934,0,0
N1937,70001.5,43356.75,51,29,81535,51012,0,0
N1897,136642.5,96879.875,77,58,142855,99933,0,0
N944,127832.0,90479.375,76,49,136805,95518,0,0
N1280,141554.75,100986.25,83,59,150613,106106,0,0
N3341,62640.25,43286.0,38,25,61841,43612,0,0
N2503,107151.5,76430.5,64,45,109128,77848,0,0
N1758,140604.75,99855.125,78,60,147941,103531,0,0
N1677,142861.0,101881.375,81,63,150829,105940,0,0
N1630,143952.25,102722.875,82,64,152184,106905,0,0
N48,67605.5,48650.25,38,34,74661,49493,0,0
N2041,129965.125,92207.125,74,56,135120,94642,0,0
N555,107945.5,73433.125,66,45,120705,77331,0,0
N3243,57426.25,39696.125,32,20,62939,44798,0,0
N3320,63576.0,43973.25,40,26,62785,44342,0,0
N2219,120041.0,85302.25,70,52,123521,86894,0,0
N211,61854.0,29558.625,112,18,72529,33629,0,0
N1699,142239.75,101327.125,80,64,150060,105307,0,0
N1081,134791.0,95618.625,82,52,143869,100763,0,0
N2663,63437.75,42560.5,40,24,71129,49015,0,0
N640,114269.5,77580.5,66,45,127444,81915,0,0
N3165,72218.75,50697.25,44,29,71564,51205,0,0
N115,74158.75,51924.75,41,35,83525,53108,0,0
N2475,65075.625,42944.375,44,26,73496,49663,0,0
N581,57758.0,32836.75,36,21,70157,37952,0,0
N1313,69819.75,39400.5,47,26,84961,46358,0,0
N558,108060.5,73514.0,66,45,120826,77412,0,0
N472,56437.0,31767.5,40,21,68383,36573,0,0
N288,87930.5,60866.25,50,38,99253,63132,0,0
N2812,90975.25,65073.5,53,36,91386,66294,0,0
N2050,129617.25,91970.375,74,56,134724,94382,0,0
N501,56371.0,32190.375,34,21,68448,37047,0,0
N3388,55340.25,38348.125,33,21,60268,42892,0,0
N936,64157.5,36116.0,43,19,78097,42222,0,0
N1744,73879.625,42917.5,49,32,89155,50879,0,0
N3257,57199.75,39542.875,32,20,62646,44583,0,0
N1502,146891.375,104989.5,85,66,155904,109840,0,0
N1604,144601.25,103198.375,83,64,152984,107493,0,0
N299,59899.875,30427.625,84,20,71104,34768,0,0
N1056,133527.625,94654.75,82,52,142577,99747,0,0
N814,123212.875,86060.75,75,46,133938,91001,0,0
N2162,124043.375,88057.125,71,54,128180,89945,0,0
N1766,73151.625,42959.5,48,31,87720,50934,0,0
N1738,141101.25,100270.375,78,63,148582,104009,0,0
N477,56287.0,31839.0,38,21,68252,36651,0,0
N3332,63024.25,43559.25,40,26,62232,43915,0,0
N2755,62541.0,42287.125,39,25,69882,48601,0,0
N1730,141325.25,100463.875,78,63,148879,104255,0,0
N2435,65347.0,42984.375,44,27,73946,49771,0,0
N3325,56522.75,39074.125,32,20,61804,43981,0,0
N2207,67317.375,43349.625,45,29,76883,50534,0,0
N462,100852.375,68939.25,57,42,113135,72347,0,0
N2318,66375.625,43249.75,45,28,75456,50155,0,0
N813,61894.25,35027.0,41,20,75237,40709,0,0
N752,122000.625,83440.25,73,46,134903,88239,0,0
N2394,112140.0,79900.25,66,48,114634,81335,0,0
N557,57314.5,32629.875,36,21,69604,37662,0,0
N2208,120823.875,85827.25,71,52,124434,87479,0,0
N972,129349.25,91572.625,78,50,138326,96622,0,0
N90,71610.5,50592.0,41,34,80152,51607,0,0
