Node(Unlabel),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N2183,122443.375,86944.0,71,53,126318,88712,0,0
N2204,121079.875,86007.25,71,52,124735,87674,0,0
N1673,74400.125,42692.75,47,31,90324,50647,0,0
N3026,59920.75,41011.5,34,23,66296,46880,0,0
N1327,142799.375,102037.125,83,60,151824,107107,0,0
N1626,144026.25,102769.125,82,64,152278,106973,0,0
N1813,139415.75,98937.125,79,61,146435,102417,0,0
N961,128776.25,91164.25,77,50,137744,96198,0,0
N1171,137833.25,97997.125,83,53,146929,103121,0,0
N630,113607.5,77115.5,66,45,126742,81411,0,0
N1465,146073.25,104415.625,84,65,155072,109337,0,0
N1925,135799.5,96237.875,77,58,141799,99187,0,0
N1983,133485.75,94610.375,77,57,139148,97362,0,0
N1064,133943.25,94956.0,81,52,143018,100083,0,0
N1641,74134.75,42491.25,47,30,90002,50363,0,0
N958,128557.5,91006.125,77,49,137522,96041,0,0
N924,127170.5,89960.625,76,48,136168,94988,0,0
N22,65600.75,27813.75,165,14,75322,31365,0,0
N2594,63914.0,42695.5,41,25,71825,49217,0,0
N2390,112419.5,80096.25,66,48,114942,81527,0,0
N841,62373.0,35234.0,40,21,75896,41065,0,0
N2958,60534.0,41326.375,33,23,67123,47339,0,0
N1901,70652.25,43316.125,51,30,82782,51047,0,0
N891,63100.25,35563.875,42,22,76832,41563,0,0
N1224,139901.875,99667.25,82,55,148948,104794,0,0
N2850,61860.75,42004.375,39,24,68902,48222,0,0
N818,123335.75,86244.125,75,46,133935,91190,0,0
N1583,145209.625,103621.625,86,64,153746,108041,0,0
N374,93827.5,64614.0,54,39,105565,67408,0,0
N1943,69858.5,43364.25,50,29,81266,51003,0,0
N492,56112.25,32047.5,34,21,68144,36887,0,0
N1946,69767.25,43379.25,50,29,81089,50997,0,0
N1550,146002.5,104194.375,85,65,154746,108803,0,0
N62,68717.0,49166.5,40,34,76200,50060,0,0
N301,59763.375,30504.875,82,20,70998,34848,0,0
N3066,77463.75,54784.75,45,30,77049,55441,0,0
N768,61239.25,34643.5,42,20,74438,40269,0,0
N1717,141721.75,100839.125,79,62,149387,104708,0,0
N732,121252.75,82365.625,73,46,134813,87129,0,0
N1033,132545.5,93927.25,81,52,141574,98992,0,0
N1511,146696.125,104773.0,86,66,155663,109612,0,0
N1002,130993.75,92752.75,81,52,140017,97828,0,0
N379,94164.25,64836.0,54,40,105919,67655,0,0
N1549,146032.0,104217.375,85,65,154786,108838,0,0
N3363,61727.0,42618.75,38,25,60908,42880,0,0
N1657,143343.0,102249.625,80,63,151436,106369,0,0
N632,113831.75,77276.75,66,45,126976,81579,0,0
N1196,138799.5,98791.125,84,53,147876,103902,0,0
N1506,146834.0,104917.625,85,66,155840,109777,0,0
N2998,60211.75,41161.375,34,23,66687,47097,0,0
N754,122027.375,83516.0,73,46,134861,88309,0,0
N530,105910.5,72166.125,63,43,118539,75882,0,0
N2573,103670.75,74051.25,62,43,105282,75382,0,0
N2169,123458.375,87647.875,71,54,127494,89490,0,0
N1592,144979.5,103463.125,84,64,153462,107837,0,0
N1957,134849.5,95574.5,78,58,140692,98432,0,0
N2863,88034.25,62891.75,53,36,88247,64011,0,0
N2868,61735.0,41986.375,39,23,68706,48145,0,0
N909,63535.25,35789.75,42,19,77340,41826,0,0
N503,56432.0,32218.125,35,21,68522,37088,0,0
N9,63462.25,46873.25,36,32,68751,47497,0,0
N1761,73294.5,42959.75,48,31,88001,50926,0,0
N1477,146414.0,104661.375,84,66,155421,109566,0,0
N1291,141894.75,101264.5,82,59,150952,106379,0,0
N430,98174.375,67307.0,55,41,110223,70477,0,0
N2350,114191.5,81265.5,67,50,116915,82751,0,0
N2024,130988.5,92880.375,76,56,136310,95427,0,0
N406,57783.375,31291.75,56,20,69473,35911,0,0
N3068,77384.75,54727.0,45,30,76964,55376,0,0
N1534,146290.5,104426.875,85,65,155140,109152,0,0
N1110,67029.0,37565.75,44,21,81642,44141,0,0
N2036,130216.25,92370.875,76,56,135413,94837,0,0
N2811,62240.5,42158.625,39,24,69441,48431,0,0
N1752,73663.625,42949.75,49,32,88714,50897,0,0
N2034,130380.5,92473.125,76,56,135611,94967,0,0
N1121,67082.5,37596.5,44,21,81704,44177,0,0
N3179,71439.75,50092.75,44,29,70756,50575,0,0
N1783,72596.25,43012.25,49,32,86634,50964,0,0
N1571,145543.125,103851.25,85,65,154168,108348,0,0
N895,126040.25,89040.375,76,48,135233,94084,0,0
N191,81187.75,56231.75,45,37,92029,57955,0,0
N577,109537.25,74470.625,66,45,122399,78465,0,0
N3067,59463.75,40771.5,34,23,65680,46539,0,0
N1501,72280.125,41064.875,46,31,87862,48548,0,0
N1603,144639.75,103225.625,83,64,153032,107528,0,0
N1580,73359.875,41893.125,47,30,89085,49550,0,0
N3207,70033.75,48951.25,44,27,69322,49441,0,0
N82,70557.25,50047.25,41,34,78736,51033,0,0
N2782,92435.5,66193.25,54,37,92941,67410,0,0
N222,61576.25,29674.125,108,19,72324,33794,0,0
N771,122273.125,84194.5,73,46,134486,88997,0,0
N1565,73190.375,41759.125,47,30,88897,49390,0,0
N2988,81664.5,58036.0,50,33,81472,58841,0,0
N2093,68024.125,43390.875,44,28,77952,50770,0,0
N2478,65010.75,42930.5,44,26,73406,49639,0,0
N1235,140458.75,100125.0,82,55,149498,105256,0,0
N1097,135361.0,96072.375,82,52,144440,101198,0,0
N1817,139239.375,98810.25,79,61,146215,102263,0,0
N2103,127246.25,90295.875,74,55,131951,92494,0,0
N1400,71067.25,40262.75,48,28,86435,47461,0,0
N104,63794.875,28706.0,139,15,73955,32507,0,0
N1401,144483.125,103337.375,83,62,153517,108372,0,0
N2702,63051.625,42429.125,41,25,70627,48863,0,0
N3059,77951.25,55172.25,46,30,77557,55831,0,0
N2525,106072.5,75701.75,64,45,107934,77093,0,0
N981,64822.0,36439.75,44,20,78918,42647,0,0
N1005,131065.0,92804.125,81,52,140089,97880,0,0
N584,109986.25,74753.125,66,45,122883,78789,0,0
N96,72195.75,50908.5,41,34,80929,51935,0,0
N2600,102331.5,73111.0,60,42,103813,74448,0,0
N917,126893.25,89734.125,76,48,135926,94773,0,0
N3371,61269.0,42269.75,37,25,60448,42514,0,0
N1413,144781.75,103531.625,83,65,153813,108548,0,0
N527,105567.5,71934.875,63,43,118179,75642,0,0
N1602,73521.0,42024.25,48,30,89271,49710,0,0
N529,105798.375,72094.5,63,43,118419,75802,0,0
N3126,58843.5,40448.625,34,22,64840,46050,0,0
N2643,100000.75,71518.75,59,40,101200,72788,0,0
N129,75642.5,52772.25,41,35,85414,54026,0,0
N286,87816.0,60788.25,50,38,99135,63053,0,0
N362,92842.375,63981.0,53,39,104508,66669,0,0
N3366,61576.5,42507.5,37,25,60756,42758,0,0
N3141,58629.25,40326.625,33,21,64559,45877,0,0
N2408,111502.5,79431.0,66,47,113944,80905,0,0
N269,86843.75,60176.5,49,38,98085,62342,0,0
N2975,82606.0,58743.5,50,33,82483,59633,0,0
N427,97950.0,67171.25,55,41,109981,70321,0,0
N921,63821.0,35940.0,43,19,77684,42006,0,0
N2088,127937.875,90784.625,74,55,132751,93038,0,0
N3139,58666.5,40337.875,33,22,64616,45910,0,0
N1759,73363.75,42953.0,49,31,88140,50922,0,0
N2612,101809.5,72731.25,60,42,103246,74084,0,0
N1238,68597.5,38541.0,46,24,83530,45308,0,0
N1742,73954.375,42909.25,48,32,89306,50873,0,0
N2217,67259.375,43333.375,45,29,76807,50518,0,0
N1773,140267.25,99596.0,78,60,147517,103211,0,0
N1617,73713.875,42161.875,48,30,89502,49912,0,0
N254,85435.5,59212.25,48,38,96593,61305,0,0
N665,116484.25,79123.375,67,45,129782,83595,0,0
N1784,72526.25,43017.25,49,32,86503,50968,0,0
N202,82033.75,56823.75,45,38,92951,58633,0,0
N1612,144420.25,103074.625,83,64,152746,107318,0,0
N942,64372.75,36206.75,43,20,78373,42363,0,0
N685,117717.125,79984.25,69,45,131071,84507,0,0
N119,74574.75,52157.75,41,35,84056,53357,0,0
N3112,59050.25,40555.625,34,23,65120,46220,0,0
N3231,68880.25,48058.25,44,26,68127,48495,0,0
N2092,127763.375,90652.875,74,55,132551,92902,0,0
N1420,144987.875,103682.5,83,65,153998,108658,0,0
N1917,136031.75,96410.375,77,58,142089,99392,0,0
N687,117941.0,80139.375,69,45,131307,84671,0,0
N2564,64200.0,42790.5,42,25,72221,49321,0,0
N1028,132203.5,93663.25,80,52,141234,98727,0,0
N395,95500.0,65696.75,55,41,107336,68617,0,0
N2819,62138.75,42115.875,39,24,69294,48374,0,0
N2159,67457.5,43344.875,44,29,77099,50588,0,0
N1335,70052.5,39580.25,47,26,85216,46548,0,0
N609,58392.0,33146.875,37,20,70946,38375,0,0
N2320,66323.125,43239.75,45,28,75374,50133,0,0
N1307,142252.375,101570.125,81,60,151308,106678,0,0
N373,58374.5,31048.375,63,20,69947,35599,0,0
N1166,137675.125,97876.0,83,53,146773,102992,0,0
N986,130063.5,92092.375,80,50,139053,97152,0,0
N2615,101584.75,72568.0,60,42,103002,73928,0,0
N2295,66512.625,43304.5,45,28,75646,50210,0,0
N1436,145382.375,103952.5,85,65,154368,108878,0,0
N2428,110610.5,78824.0,66,46,112954,80283,0,0
N1168,67887.125,38057.125,43,23,82693,44753,0,0
N1619,73750.875,42192.125,48,30,89547,49953,0,0
N3226,69186.25,48292.0,44,26,68443,48743,0,0
N346,58954.625,30814.125,70,21,70395,35285,0,0
N1537,72735.5,41418.0,46,31,88365,48948,0,0
N988,130200.5,92185.125,80,51,139200,97256,0,0
N502,103434.875,70568.0,59,43,115914,74139,0,0
N3213,69717.75,48689.75,44,26,69002,49187,0,0
N3411,59208.25,40739.5,37,24,58382,40915,0,0
N821,123425.0,86369.875,75,47,133938,91313,0,0
N1639,74059.25,42442.25,47,30,89910,50281,0,0
N3116,74790.75,52694.0,44,29,74258,53315,0,0
N850,124123.75,87214.125,77,48,134100,92202,0,0
N172,79516.25,55081.75,44,36,90159,56702,0,0
N1396,144371.875,103260.375,83,62,153406,108303,0,0
N257,85763.0,59448.5,48,38,96937,61550,0,0
N2080,68114.5,43351.75,46,28,78162,50799,0,0
N994,130487.5,92397.5,80,51,139497,97468,0,0
N1859,137967.5,97869.125,77,61,144552,101078,0,0
N948,128050.5,90649.125,77,49,137010,95674,0,0
N2814,62202.25,42136.125,39,24,69392,48412,0,0
N2459,109016.5,77720.0,64,46,111208,79178,0,0
N3032,79560.0,56402.0,48,31,79257,57129,0,0
N1303,69630.125,39243.75,47,26,84757,46206,0,0
N531,106023.75,72241.875,63,43,118659,75962,0,0
N910,126559.25,89454.125,77,48,135648,94508,0,0
N322,59473.5,30618.375,78,20,70778,35008,0,0
N2125,125990.75,89431.0,74,54,130451,91476,0,0
N303,88600.5,61287.75,50,38,99966,63602,0,0
N3232,68804.75,48002.5,44,26,68048,48433,0,0
N3387,60508.75,41690.25,37,24,59684,41906,0,0
N2468,65138.75,42954.875,44,27,73631,49694,0,0
N376,58300.75,31072.875,62,20,69889,35638,0,0
N2737,62778.5,42349.625,41,25,70227,48731,0,0
N3319,63657.25,44038.25,40,26,62864,44403,0,0
N453,56828.75,31612.875,45,21,68713,36378,0,0
N174,79744.75,55238.75,44,36,90420,56868,0,0
N728,121036.875,82228.5,73,46,134581,86965,0,0
N2521,106289.75,75851.5,64,45,108174,77246,0,0
N3155,58554.5,40300.625,32,21,64447,45803,0,0
N2880,87493.0,62495.25,52,35,87668,63586,0,0
N1003,65202.25,36610.875,44,20,79397,42899,0,0
N2549,104760.75,74795.75,63,44,106486,76160,0,0
N441,99261.75,67943.5,56,42,111440,71255,0,0
N2599,102406.5,73166.5,60,42,103894,74500,0,0
N2286,66576.625,43298.5,45,28,75758,50243,0,0
N561,108173.0,73586.625,66,45,120947,77493,0,0
N1654,143420.0,102306.875,80,64,151530,106433,0,0
N507,56497.0,32249.25,35,21,68599,37129,0,0
N2557,104473.5,74605.25,63,44,106166,75952,0,0
N1665,143073.0,102025.125,81,63,151105,106138,0,0
N2370,113381.0,80742.25,67,49,116011,82193,0,0
N887,125786.0,88831.625,76,48,135043,93875,0,0
N1529,146405.125,104540.25,85,65,155288,109284,0,0
N218,82973.5,57461.25,45,38,93977,59384,0,0
N2635,100437.5,71795.75,59,41,101692,73098,0,0
N1906,136406.25,96700.875,76,58,142562,99723,0,0
N2897,86716.0,61917.0,51,33,86840,62971,0,0
N1071,134305.5,95242.5,81,52,143378,100371,0,0
N523,105336.0,71775.375,63,43,117939,75482,0,0
N3327,56436.5,39032.375,32,20,61684,43895,0,0
N169,79169.5,54858.75,44,35,89756,56455,0,0
N2820,90599.5,64794.75,53,36,90981,65996,0,0
N1030,132343.25,93770.5,80,52,141373,98833,0,0
N2479,64980.75,42926.25,44,26,73361,49627,0,0
N233,83944.25,58156.5,46,38,95001,60132,0,0
N1563,145759.625,104012.0,85,65,154438,108558,0,0
N1616,73676.875,42131.625,48,30,89457,49871,0,0
N1830,138833.125,98516.25,79,61,145677,101883,0,0
N1649,74172.5,42515.75,47,30,90048,50404,0,0
N2938,84594.0,60274.75,51,33,84590,61259,0,0
N1295,69502.125,39163.25,47,26,84604,46092,0,0
N1973,134078.75,95030.5,77,57,139821,97831,0,0
N1862,137872.25,97790.375,77,61,144434,100998,0,0
N3291,65317.25,45271.25,40,26,64526,45670,0,0
N1915,136124.0,96474.875,77,58,142206,99474,0,0
N2676,98044.75,70167.75,57,39,99055,71437,0,0
N167,62715.5,29211.625,125,16,73153,33135,0,0
N1078,134611.5,95485.25,82,52,143680,100616,0,0
N2653,63513.375,42590.5,40,24,71230,49045,0,0
N2696,96992.25,69455.25,56,39,97893,70699,0,0
N108,73463.25,51551.25,41,35,82624,52686,0,0
N1885,136981.75,97151.75,76,58,143279,100227,0,0
N3409,59361.25,40853.75,37,24,58534,41031,0,0
N2494,107641.0,76752.5,64,45,109674,78198,0,0
N251,85325.0,59129.75,48,38,96479,61222,0,0
N2629,100844.5,72071.0,60,42,102182,73408,0,0
N2379,65776.75,43120.125,43,26,74566,49927,0,0
N2075,128616.25,91270.625,74,55,133545,93582,0,0
N1000,130845.5,92640.0,81,52,139870,97725,0,0
N2082,128277.375,91033.375,74,55,133151,93310,0,0
N2876,87648.5,62611.5,52,35,87834,63708,0,0
N1317,142589.125,101859.875,83,60,151624,106942,0,0
N1883,137057.75,97206.0,76,60,143401,100307,0,0
N2667,98580.25,70544.25,57,40,99636,71799,0,0
N2315,115262.75,81994.5,68,51,118095,83485,0,0
N2255,118061.25,83933.0,69,52,121217,85442,0,0
N1048,133197.0,94414.875,82,52,142245,99504,0,0
N918,126963.5,89791.875,76,48,135985,94826,0,0
N2545,105052.0,74996.75,63,44,106807,76368,0,0
N382,58155.875,31135.5,60,20,69773,35716,0,0
N2835,89655.75,64066.25,53,36,89990,65276,0,0
N3043,78835.0,55852.0,48,31,78488,56544,0,0
N1777,72866.75,42994.25,48,31,87170,50950,0,0
N2270,117255.0,83388.75,69,52,120283,84862,0,0
N1984,133398.25,94543.625,77,57,139052,97295,0,0
N3350,62260.25,43012.25,38,25,61451,43307,0,0
N2491,107786.75,76863.25,64,45,109829,78298,0,0
N2178,67415.125,43345.125,44,29,77031,50570,0,0
N3373,55583.25,38500.625,33,20,60580,43114,0,0
N1394,144328.375,103227.125,83,62,153369,108280,0,0
N2122,67774.0,43401.375,44,29,77557,50699,0,0
N1233,140363.75,100047.5,82,55,149398,105172,0,0
N2259,66915.625,43332.25,46,28,76271,50386,0,0
N982,64875.0,36465.0,44,20,78986,42683,0,0
N723,120495.875,81861.5,72,46,134003,86555,0,0
N1104,135544.75,96207.875,82,52,144628,101336,0,0
N3338,56201.0,38882.625,32,20,61384,43680,0,0
N2673,98199.25,70278.75,57,40,99221,71539,0,0
N3283,56996.25,39384.625,33,20,62404,44411,0,0
N1246,140774.625,100378.875,81,57,149802,105491,0,0
N3136,58707.0,40359.125,33,22,64673,45945,0,0
N965,129058.25,91362.125,78,50,138034,96410,0,0
N1150,67534.25,37854.0,44,21,82262,44501,0,0
N2818,90674.0,64848.75,53,36,91062,66056,0,0
N2129,125817.75,89312.5,74,54,130251,91340,0,0
N2581,103145.75,73676.75,62,43,104708,75018,0,0
N16,64318.75,47242.5,37,32,69984,47897,0,0
N1236,68549.5,38502.75,46,24,83474,45270,0,0
N329,90520.0,62519.75,51,38,101997,64970,0,0
N2068,68182.75,43324.0,46,28,78297,50814,0,0
N3331,63105.5,43624.25,40,26,62311,43976,0,0
N2547,104903.75,74889.25,63,44,106646,76264,0,0
N2419,65449.875,43027.875,42,27,74085,49804,0,0
N700,118738.75,80706.125,70,45,132131,85245,0,0
N1435,71518.875,40533.875,46,30,86980,47870,0,0
N1582,145246.75,103638.875,86,65,153794,108073,0,0
N1258,141118.375,100644.625,81,57,150155,105757,0,0
N1955,134934.75,95628.375,78,58,140789,98499,0,0
N902,63331.25,35676.375,42,21,77124,41714,0,0
N1428,71442.875,40496.875,46,30,86882,47796,0,0
N576,109426.75,74403.375,66,45,122278,78384,0,0
N3172,71835.25,50407.5,44,29,71161,50890,0,0
N2797,91586.0,65537.5,54,37,92039,66764,0,0
N2858,61828.0,41999.125,39,24,68853,48203,0,0
N1591,145020.75,103494.375,83,64,153512,107871,0,0
N2604,102109.5,72953.25,60,42,103570,74292,0,0
N282,60513.0,30118.5,94,19,71561,34406,0,0
N451,100164.125,68489.0,56,42,112414,71879,0,0
N1542,146179.75,104339.375,85,65,154986,109017,0,0
N2619,63635.5,42601.0,40,24,71430,49105,0,0
N2796,91664.25,65600.75,54,37,92121,66823,0,0
N2767,93417.75,66919.75,55,39,93999,68146,0,0
N1230,140218.375,99929.75,82,55,149248,105046,0,0
N2474,108355.5,77264.5,64,45,110445,78690,0,0
N2605,63772.25,42643.0,41,24,71627,49164,0,0
N489,102526.75,69993.875,59,43,114946,73515,0,0
N3086,76571.75,54083.0,44,30,76116,54726,0,0
N2154,124466.875,88360.875,73,54,128666,90271,0,0
N2254,118149.25,83989.0,69,52,121324,85509,0,0
N2167,123624.875,87765.125,71,54,127690,89620,0,0
N98,72341.0,50983.75,41,34,81122,52018,0,0
N989,130273.0,92240.875,80,51,139274,97309,0,0
N2238,118795.0,84453.75,69,52,122067,85978,0,0
N29,65458.25,27866.875,163,14,75218,31457,0,0
N1007,131133.5,92851.375,81,52,140161,97932,0,0
N1875,137401.0,97464.125,76,61,143828,100599,0,0
N3192,70886.25,49637.0,44,28,70195,50136,0,0
N2444,109918.5,78344.0,65,46,112193,79803,0,0
N585,110100.0,74829.875,66,45,123004,78870,0,0
N978,129771.0,91878.375,80,50,138761,96940,0,0
N2105,127076.75,90180.625,74,55,131751,92358,0,0
N497,103088.125,70344.5,59,43,115551,73905,0,0
N3358,55822.25,38652.625,32,20,60892,43334,0,0
N1978,69191.75,43365.625,49,28,80042,50951,0,0
N1802,139715.5,99160.25,80,59,146818,102694,0,0
N1903,136496.75,96765.875,77,58,142678,99807,0,0
N1560,73110.5,41698.0,47,30,88803,49310,0,0
N2940,84433.25,60149.5,51,33,84420,61129,0,0
N1831,138791.0,98482.375,79,61,145624,101845,0,0
N1080,134731.0,95570.375,82,52,143806,100714,0,0
N2903,61074.5,41633.75,36,22,67827,47699,0,0
N306,88828.75,61432.5,50,38,100204,63759,0,0
N2094,127675.25,90588.875,74,55,132451,92834,0,0
N3115,59006.5,40530.375,34,23,65064,46186,0,0
N2774,92964.75,66584.25,55,38,93508,67807,0,0
N1533,146315.0,104443.875,85,65,155177,109185,0,0
N597,58078.5,33006.5,36,21,70552,38163,0,0
N782,122493.75,84729.125,73,46,134229,89612,0,0
N1025,65643.75,36829.25,44,20,79949,43187,0,0
N256,85652.0,59368.25,48,38,96822,61469,0,0
N3258,57147.75,39500.125,32,20,62586,44540,0,0
N604,111333.25,75602.125,66,45,124335,79761,0,0
N1848,138292.25,98119.375,78,61,144963,101365,0,0
N2061,68262.75,43307.125,46,27,78441,50831,0,0
N786,61477.5,34791.0,42,20,74726,40429,0,0
N1016,131632.25,93227.625,80,52,140666,98303,0,0
N454,100273.625,68553.75,56,42,112534,71957,0,0
N86,71157.0,50347.75,41,34,79551,51361,0,0
N1340,70219.75,39691.75,47,26,85420,46700,0,0
N2450,109501.5,78056.0,65,46,111737,79515,0,0
N2516,106575.5,76037.5,64,45,108494,77448,0,0
N3234,68729.25,47946.75,44,26,67969,48371,0,0
N2260,117696.75,83679.75,69,52,120789,85178,0,0
N64,68874.5,49239.25,40,34,76417,50141,0,0
N3163,72373.75,50820.25,44,29,71724,51331,0,0
N1564,145724.25,103980.125,85,65,154393,108523,0,0
N1212,139425.375,99286.75,82,55,148502,104414,0,0
N2943,84189.5,59954.0,50,33,84167,60934,0,0
N1909,136311.75,96619.875,76,58,142444,99639,0,0
N2278,116995.0,83219.75,69,52,119991,84678,0,0
N2023,131074.75,92939.125,76,56,136410,95493,0,0
N3208,69953.75,48883.0,44,27,69242,49377,0,0
N2172,123208.875,87481.375,71,54,127200,89295,0,0
N823,123465.75,86430.625,75,47,133941,91375,0,0
N2986,81822.5,58152.5,50,33,81642,58973,0,0
N2900,61182.5,41673.125,36,22,67983,47780,0,0
N2971,60369.25,41231.25,33,23,66907,47221,0,0
N1911,70453.0,43359.25,51,29,82381,51043,0,0
N1889,136879.0,97061.625,77,58,143155,100143,0,0
N3041,59657.75,40851.5,34,23,65960,46694,0,0
N2140,125399.25,89030.5,74,54,129751,91002,0,0
N1961,134675.0,95448.125,78,58,140498,98298,0,0
N2155,67497.5,43337.125,44,29,77167,50606,0,0
N3169,71988.25,50520.0,44,29,71323,51016,0,0
N878,125481.0,88562.875,76,48,134823,93606,0,0
N2253,66934.75,43322.625,47,28,76308,50397,0,0
N2641,100146.75,71612.25,59,40,101364,72892,0,0
N1079,134672.0,95530.0,82,52,143743,100665,0,0
N620,112815.75,76578.25,66,45,125909,80827,0,0
N1655,143380.0,102279.125,80,64,151483,106400,0,0
N705,119180.875,81005.5,71,45,132601,85573,0,0
N3034,79480.0,56344.25,48,31,79171,57064,0,0
N511,104221.75,71070.875,61,43,116751,74689,0,0
N1270,141375.0,100840.75,81,59,150440,105966,0,0
N973,129418.25,91622.0,78,50,138399,96675,0,0
N2608,101960.75,72845.5,60,42,103408,74188,0,0
N3157,72600.25,50991.0,44,29,71964,51522,0,0
N833,62294.25,35206.25,40,20,75750,40989,0,0
N956,128408.5,90902.875,77,49,137374,95935,0,0
N1513,72366.875,41123.625,46,31,87960,48628,0,0
N2328,66272.0,43234.375,45,27,75294,50112,0,0
N2132,125734.75,89256.5,74,54,130151,91272,0,0
N2712,95928.0,68741.5,56,39,96717,69956,0,0
N960,128701.0,91107.875,77,49,137670,96147,0,0
N2595,63877.25,42681.5,41,24,71775,49206,0,0
N405,96505.375,66296.25,55,41,108419,69310,0,0
N3124,74306.75,52305.5,44,29,73760,52930,0,0
N2701,96692.25,69262.25,56,39,97557,70487,0,0
N999,65148.75,36592.0,44,20,79328,42863,0,0
N1095,66671.25,37358.5,44,21,81208,43889,0,0
N2698,96842.25,69358.75,56,39,97725,70593,0,0
N1554,72999.625,41634.625,47,30,88662,49190,0,0
N1216,139593.625,99418.75,82,55,148649,104542,0,0
