Node(Unlabel),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N634,0,138585.75,0,57,0,179121,0,0
N135,0,138585.75,0,57,0,179121,0,0
N1361,0,138585.75,0,57,0,179121,0,0
N2643,0,138585.75,0,57,0,179121,0,0
N1001,0,138585.75,0,57,0,179121,0,0
N1312,0,138585.75,0,57,0,179121,0,0
N2995,0,138585.75,0,57,0,179121,0,0
N1484,0,138585.75,0,57,0,179121,0,0
N9,0,138585.75,0,57,0,179121,0,0
N2623,0,138585.75,0,57,0,179121,0,0
N255,0,138585.75,0,57,0,179121,0,0
N822,0,138585.75,0,57,0,179121,0,0
N3103,0,47936.25,0,52,0,70976,0,0
N1501,0,47936.25,0,52,0,70976,0,0
N34,0,138588.0,0,57,0,179121,0,0
N1865,0,138585.75,0,57,0,179121,0,0
N741,0,138585.75,0,57,0,179121,0,0
N2358,0,138585.75,0,57,0,179121,0,0
N771,0,138585.75,0,57,0,179121,0,0
N2397,0,154566.75,0,90,0,198295,0,0
N2740,0,138585.75,0,57,0,179121,0,0
N1431,0,138585.75,0,57,0,179121,0,0
N2853,0,138585.75,0,57,0,179121,0,0
N1154,0,138585.75,0,57,0,179121,0,0
N1713,0,138588.0,0,57,0,179121,0,0
N2234,0,138585.75,0,57,0,179121,0,0
N2649,0,138585.75,0,57,0,179121,0,0
N1358,0,138585.75,0,57,0,179121,0,0
N789,0,138585.75,0,57,0,179121,0,0
N2885,0,154570.0,0,90,0,198295,0,0
N2756,0,138585.75,0,57,0,179121,0,0
N351,0,47940.0,0,52,0,70976,0,0
N1886,0,138585.75,0,57,0,179121,0,0
N2735,0,154566.75,0,90,0,198295,0,0
N1368,0,138585.75,0,57,0,179121,0,0
N285,0,138585.75,0,57,0,179121,0,0
N1580,0,138585.75,0,57,0,179121,0,0
N446,0,138585.75,0,57,0,179121,0,0
N2429,0,138588.0,0,57,0,179121,0,0
N2395,0,154566.75,0,90,0,198295,0,0
N1749,0,138588.0,0,57,0,179121,0,0
N1013,0,154566.75,0,90,0,198295,0,0
N1792,0,138585.75,0,57,0,179121,0,0
N1703,0,154566.75,0,90,0,198295,0,0
N2038,0,138585.75,0,57,0,179121,0,0
N384,0,138585.75,0,57,0,179121,0,0
N223,0,138585.75,0,57,0,179121,0,0
N173,0,138585.75,0,57,0,179121,0,0
N592,0,47936.25,0,52,0,70976,0,0
N325,0,138585.75,0,57,0,179121,0,0
N2627,0,154566.75,0,90,0,198295,0,0
N411,0,47936.25,0,52,0,70976,0,0
N806,0,138585.75,0,57,0,179121,0,0
N210,0,154566.75,0,90,0,198295,0,0
N1869,0,47936.25,0,52,0,70976,0,0
N2497,0,138585.75,0,57,0,179121,0,0
N388,0,138585.75,0,57,0,179121,0,0
N3078,0,138585.75,0,57,0,179121,0,0
N2073,0,138585.75,0,57,0,179121,0,0
N352,0,138585.75,0,57,0,179121,0,0
N235,0,138585.75,0,57,0,179121,0,0
N390,0,138585.75,0,57,0,179121,0,0
N1073,0,138585.75,0,57,0,179121,0,0
N426,0,138585.75,0,57,0,179121,0,0
N655,0,138585.75,0,57,0,179121,0,0
N1737,0,138588.0,0,57,0,179121,0,0
N2323,0,138585.75,0,57,0,179121,0,0
N2567,0,138585.75,0,57,0,179121,0,0
N64,0,154566.75,0,90,0,198295,0,0
N1598,0,47936.25,0,52,0,70976,0,0
N2367,0,138585.75,0,57,0,179121,0,0
N1142,0,138585.75,0,57,0,179121,0,0
N1693,0,47936.25,0,52,0,70976,0,0
N1350,0,138585.75,0,57,0,179121,0,0
N1771,0,138585.75,0,57,0,179121,0,0
N2152,0,138585.75,0,57,0,179121,0,0
N626,0,138588.0,0,57,0,179121,0,0
N1131,0,47936.25,0,52,0,70976,0,0
N756,0,47936.25,0,52,0,70976,0,0
N1867,0,138585.75,0,57,0,179121,0,0
N1105,0,138585.75,0,57,0,179121,0,0
N1253,0,138585.75,0,57,0,179121,0,0
N1023,0,138585.75,0,57,0,179121,0,0
N830,0,47936.25,0,52,0,70976,0,0
N2112,0,138585.75,0,57,0,179121,0,0
N1356,0,138585.75,0,57,0,179121,0,0
N2000,0,138585.75,0,57,0,179121,0,0
N1299,0,138585.75,0,57,0,179121,0,0
N1020,0,138585.75,0,57,0,179121,0,0
N2937,0,138585.75,0,57,0,179121,0,0
N2105,0,154566.75,0,90,0,198295,0,0
N375,0,138585.75,0,57,0,179121,0,0
N1676,0,138585.75,0,57,0,179121,0,0
N713,0,138585.75,0,57,0,179121,0,0
N1579,0,138585.75,0,57,0,179121,0,0
N785,0,138585.75,0,57,0,179121,0,0
N821,0,138585.75,0,57,0,179121,0,0
N2672,0,138585.75,0,57,0,179121,0,0
N702,0,138585.75,0,57,0,179121,0,0
N912,0,138585.75,0,57,0,179121,0,0
N2521,0,47936.25,0,52,0,70976,0,0
N443,0,138585.75,0,57,0,179121,0,0
N876,0,138585.75,0,57,0,179121,0,0
N1938,0,154566.75,0,90,0,198295,0,0
N1631,0,138585.75,0,57,0,179121,0,0
N1365,0,138585.75,0,57,0,179121,0,0
N1530,0,138585.75,0,57,0,179121,0,0
N1768,0,138585.75,0,57,0,179121,0,0
N2806,0,138585.75,0,57,0,179121,0,0
N82,0,138585.75,0,57,0,179121,0,0
N2076,0,138585.75,0,57,0,179121,0,0
N2446,0,154566.75,0,90,0,198295,0,0
N1727,0,138585.75,0,57,0,179121,0,0
N121,0,138585.75,0,57,0,179121,0,0
N405,0,138585.75,0,57,0,179121,0,0
N2083,0,138585.75,0,57,0,179121,0,0
N2520,0,154566.75,0,90,0,198295,0,0
N2545,0,138585.75,0,57,0,179121,0,0
N2999,0,154570.0,0,90,0,198295,0,0
N1781,0,138585.75,0,57,0,179121,0,0
