Node(Unlabel),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N1087,0,241195.125,0,203,0,611191,0,0
N2879,0,241174.625,0,203,0,611191,0,0
N3141,0,241174.625,0,203,0,611191,0,0
N3086,0,523761.25,0,573,0,1158593,0,0
N2024,0,398704.125,0,421,0,916312,0,0
N2288,0,523756.75,0,573,0,1158593,0,0
N2523,0,241193.125,0,203,0,611191,0,0
N2087,0,398704.125,0,421,0,916312,0,0
N2784,0,523785.125,0,573,0,1158593,0,0
N488,0,241174.625,0,203,0,611191,0,0
N536,0,523761.75,0,573,0,1158593,0,0
N1253,0,241174.625,0,203,0,611191,0,0
N1783,0,241193.125,0,203,0,611191,0,0
N691,0,398680.875,0,421,0,916312,0,0
N1693,0,523785.125,0,573,0,1158593,0,0
N58,0,398687.125,0,421,0,916312,0,0
N2296,0,398704.125,0,421,0,916312,0,0
N57,0,398710.375,0,421,0,916312,0,0
N540,0,241174.625,0,203,0,611191,0,0
N1118,0,241193.125,0,203,0,611191,0,0
N440,0,398704.125,0,421,0,916312,0,0
N1016,0,398680.875,0,421,0,916312,0,0
N353,0,398709.625,0,421,0,916312,0,0
N1753,0,398704.125,0,421,0,916312,0,0
N965,0,523780.625,0,573,0,1158593,0,0
N3001,0,398687.125,0,421,0,916312,0,0
N2598,0,398704.125,0,421,0,916312,0,0
N1309,0,241174.625,0,203,0,611191,0,0
N2264,0,398704.125,0,421,0,916312,0,0
N2136,0,241174.625,0,203,0,611191,0,0
N808,0,241174.625,0,203,0,611191,0,0
N1214,0,398680.875,0,421,0,916312,0,0
N793,0,523756.75,0,573,0,1158593,0,0
N1667,0,241174.625,0,203,0,611191,0,0
N1586,0,241193.125,0,203,0,611191,0,0
N2369,0,241195.125,0,203,0,611191,0,0
N361,0,241193.125,0,203,0,611191,0,0
N2931,0,241195.375,0,203,0,611191,0,0
N296,0,241193.125,0,203,0,611191,0,0
N727,0,241193.125,0,203,0,611191,0,0
N1698,0,398704.125,0,421,0,916312,0,0
N1139,0,398709.625,0,421,0,916312,0,0
N1182,0,241193.125,0,203,0,611191,0,0
N59,0,398680.875,0,421,0,916312,0,0
N1552,0,241195.125,0,203,0,611191,0,0
N1250,0,241174.625,0,203,0,611191,0,0
N614,0,241174.625,0,203,0,611191,0,0
N1231,0,398704.125,0,421,0,916312,0,0
N93,0,398680.875,0,421,0,916312,0,0
N2503,0,241176.875,0,203,0,611191,0,0
N47,0,398704.125,0,421,0,916312,0,0
N1546,0,398709.625,0,421,0,916312,0,0
N671,0,241174.625,0,203,0,611191,0,0
N254,0,398704.125,0,421,0,916312,0,0
N2871,0,523780.625,0,573,0,1158593,0,0
N630,0,241195.125,0,203,0,611191,0,0
N1480,0,523785.125,0,573,0,1158593,0,0
N1189,0,523756.75,0,573,0,1158593,0,0
N1523,0,398704.125,0,421,0,916312,0,0
N2304,0,523756.75,0,573,0,1158593,0,0
N303,0,241193.125,0,203,0,611191,0,0
N795,0,398704.125,0,421,0,916312,0,0
N1097,0,241193.125,0,203,0,611191,0,0
N2245,0,398680.875,0,421,0,916312,0,0
N1349,0,398680.875,0,421,0,916312,0,0
