Node(Gold),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N804,0,369147.5,0,154,0,373756,0,0
N860,0,369156.0,0,154,0,373756,0,0
N685,0,369147.5,0,154,0,373756,0,0
N901,0,369147.5,0,154,0,373756,0,0
N71,0,369156.0,0,154,0,373756,0,0
N656,0,369156.0,0,154,0,373756,0,0
N251,0,369147.5,0,154,0,373756,0,0
N304,0,369147.5,0,154,0,373756,0,0
N360,0,38460.5,0,32,0,46120,0,0
N887,0,38460.5,0,32,0,46120,0,0
N101,0,369147.5,0,154,0,373756,0,0
N740,0,369147.5,0,154,0,373756,0,0
N617,0,369147.5,0,154,0,373756,0,0
N234,0,369147.5,0,154,0,373756,0,0
N314,0,369147.5,0,154,0,373756,0,0
N553,0,369147.5,0,154,0,373756,0,0
N926,0,369147.5,0,154,0,373756,0,0
N417,0,380972.25,0,179,0,380471,0,0
N23,0,369156.0,0,154,0,373756,0,0
N519,0,369156.0,0,154,0,373756,0,0
N647,0,369147.5,0,154,0,373756,0,0
N813,0,38460.5,0,32,0,46120,0,0
N703,0,369156.0,0,154,0,373756,0,0
N195,0,38460.5,0,32,0,46120,0,0
N544,0,369147.5,0,154,0,373756,0,0
N699,0,369147.5,0,154,0,373756,0,0
N924,0,369147.5,0,154,0,373756,0,0
N87,0,369147.5,0,154,0,373756,0,0
N863,0,369147.5,0,154,0,373756,0,0
N925,0,369147.5,0,154,0,373756,0,0
N587,0,369147.5,0,154,0,373756,0,0
N782,0,369147.5,0,154,0,373756,0,0
N196,0,369147.5,0,154,0,373756,0,0
N780,0,369147.5,0,154,0,373756,0,0
N24,0,369147.5,0,154,0,373756,0,0
N1026,0,369147.5,0,154,0,373756,0,0
N301,0,369147.5,0,154,0,373756,0,0
N537,0,369147.5,0,154,0,373756,0,0
N280,0,369147.5,0,154,0,373756,0,0
N729,0,38460.5,0,32,0,46120,0,0
N293,0,369147.5,0,154,0,373756,0,0
N565,0,369156.0,0,154,0,373756,0,0
N191,0,369147.5,0,154,0,373756,0,0
N50,0,369147.5,0,154,0,373756,0,0
N144,0,369147.5,0,154,0,373756,0,0
N906,0,369147.5,0,154,0,373756,0,0
N745,0,369147.5,0,154,0,373756,0,0
N704,0,369147.5,0,154,0,373756,0,0
N259,0,369147.5,0,154,0,373756,0,0
N194,0,380972.25,0,179,0,380471,0,0
N172,0,369147.5,0,154,0,373756,0,0
N606,0,369147.5,0,154,0,373756,0,0
N334,0,369147.5,0,154,0,373756,0,0
N1038,0,369147.5,0,154,0,373756,0,0
N1034,0,369147.5,0,154,0,373756,0,0
N787,0,380972.25,0,179,0,380471,0,0
N72,0,369147.5,0,154,0,373756,0,0
N371,0,369147.5,0,154,0,373756,0,0
N966,0,38460.5,0,32,0,46120,0,0
N216,0,369147.5,0,154,0,373756,0,0
N453,0,369147.5,0,154,0,373756,0,0
N313,0,369147.5,0,154,0,373756,0,0
N551,0,369147.5,0,154,0,373756,0,0
N981,0,369147.5,0,154,0,373756,0,0
N670,0,369147.5,0,154,0,373756,0,0
N520,0,369147.5,0,154,0,373756,0,0
N826,0,369147.5,0,154,0,373756,0,0
N1000,0,369147.5,0,154,0,373756,0,0
