Node(Unlabel),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N1425,104231.5,69246.75,70,31,113736,84460,0,0
N2384,104231.5,69246.75,70,31,113736,84460,0,0
N1963,104231.5,69246.75,70,31,113736,84460,0,0
N1628,32052.0,439063.5,13,198,29939,253242,0,0
N526,104231.5,69246.75,70,31,113736,84460,0,0
N1166,104231.5,69246.75,70,31,113736,84460,0,0
N1493,104231.5,69246.75,70,31,113736,84460,0,0
N953,104231.5,69246.75,70,31,113736,84460,0,0
N667,104231.5,69246.75,70,31,113736,84460,0,0
N399,32052.0,439063.5,13,198,29939,253242,0,0
N620,104231.5,69246.75,70,31,113736,84460,0,0
N1358,104231.5,69246.75,70,31,113736,84460,0,0
N2263,32052.0,439063.5,13,198,29939,253242,0,0
N1653,32052.0,439063.5,13,198,29939,253242,0,0
N18,104231.5,69246.75,70,31,113736,84460,0,0
N751,104231.5,69246.75,70,31,113736,84460,0,0
N2746,32052.0,439063.5,13,198,29939,253242,0,0
N767,104231.5,69246.75,70,31,113736,84460,0,0
N2407,32052.0,439063.5,13,198,29939,253242,0,0
N2638,104231.5,69246.75,70,31,113736,84460,0,0
N2566,32052.0,439063.5,13,198,29939,253242,0,0
N1482,104231.5,69246.75,70,31,113736,84460,0,0
N1639,32052.0,439063.5,13,198,29939,253242,0,0
N1744,32052.0,439063.5,13,198,29939,253242,0,0
N1668,32052.0,439063.5,13,198,29939,253242,0,0
N2418,104231.5,69246.75,70,31,113736,84460,0,0
N2806,104231.5,69246.75,70,31,113736,84460,0,0
N1407,32052.0,439063.5,13,198,29939,253242,0,0
N83,32052.0,439063.5,13,198,29939,253242,0,0
N45,104231.5,69246.75,70,31,113736,84460,0,0
N565,104231.5,69246.75,70,31,113736,84460,0,0
N2557,104231.5,69246.75,70,31,113736,84460,0,0
N2152,32052.0,439063.5,13,198,29939,253242,0,0
N2351,32052.0,439063.5,13,198,29939,253242,0,0
N1812,32052.0,439063.5,13,198,29939,253242,0,0
N856,104231.5,69246.75,70,31,113736,84460,0,0
N574,32052.0,439063.5,13,198,29939,253242,0,0
N550,104231.5,69246.75,70,31,113736,84460,0,0
N2236,104231.5,69246.75,70,31,113736,84460,0,0
N1232,104231.5,69246.75,70,31,113736,84460,0,0
N1412,104231.5,69246.75,70,31,113736,84460,0,0
N2311,104231.5,69246.75,70,31,113736,84460,0,0
N1017,104231.5,69246.75,70,31,113736,84460,0,0
N1624,104231.5,69246.75,70,31,113736,84460,0,0
N2359,32052.0,439063.5,13,198,29939,253242,0,0
N377,104231.5,69246.75,70,31,113736,84460,0,0
N1597,32052.0,439063.5,13,198,29939,253242,0,0
N168,32052.0,439063.5,13,198,29939,253242,0,0
N1804,104231.5,69246.75,70,31,113736,84460,0,0
N2064,32052.0,439063.5,13,198,29939,253242,0,0
N2538,104231.5,69246.75,70,31,113736,84460,0,0
N2676,125669.5,460664.5,77,198,127671,296580,0,0
N1699,104231.5,69246.75,70,31,113736,84460,0,0
N2577,104231.5,69246.75,70,31,113736,84460,0,0
N2532,104231.5,69246.75,70,31,113736,84460,0,0
N541,32052.0,439063.5,13,198,29939,253242,0,0
N1367,104231.5,69246.75,70,31,113736,84460,0,0
N523,32052.0,439063.5,13,198,29939,253242,0,0
N228,32052.0,439063.5,13,198,29939,253242,0,0
N176,125669.5,460664.5,77,198,127671,296580,0,0
N2817,104231.5,69246.75,70,31,113736,84460,0,0
N1621,125669.5,460664.5,77,198,127671,296580,0,0
N1125,32052.0,439063.5,13,198,29939,253242,0,0
N2054,32052.0,439063.5,13,198,29939,253242,0,0
N269,104231.5,69246.75,70,31,113736,84460,0,0
N641,104231.5,69246.75,70,31,113736,84460,0,0
N1246,104231.5,69246.75,70,31,113736,84460,0,0
N756,104231.5,69246.75,70,31,113736,84460,0,0
N46,32052.0,439063.5,13,198,29939,253242,0,0
N1955,104231.5,69246.75,70,31,113736,84460,0,0
N2835,104231.5,69246.75,70,31,113736,84460,0,0
N2569,104231.5,69246.75,70,31,113736,84460,0,0
N878,32052.0,439063.5,13,198,29939,253242,0,0
N1631,32052.0,439063.5,13,198,29939,253242,0,0
N1935,125669.5,460664.5,77,198,127671,296580,0,0
N837,32052.0,439063.5,13,198,29939,253242,0,0
N802,104231.5,69246.75,70,31,113736,84460,0,0
N623,125669.5,460664.5,77,198,127671,296580,0,0
N2704,104231.5,69246.75,70,31,113736,84460,0,0
N456,104231.5,69246.75,70,31,113736,84460,0,0
N1548,104231.5,69246.75,70,31,113736,84460,0,0
N919,104231.5,69246.75,70,31,113736,84460,0,0
N1263,32052.0,439063.5,13,198,29939,253242,0,0
N1846,104231.5,69246.75,70,31,113736,84460,0,0
N506,32052.0,439063.5,13,198,29939,253242,0,0
N569,32052.0,439063.5,13,198,29939,253242,0,0
N1470,32052.0,439063.5,13,198,29939,253242,0,0
N2616,104231.5,69246.75,70,31,113736,84460,0,0
N1119,104231.5,69246.75,70,31,113736,84460,0,0
N1940,32052.0,439063.5,13,198,29939,253242,0,0
N598,104231.5,69246.75,70,31,113736,84460,0,0
N978,32052.0,439063.5,13,198,29939,253242,0,0
N2562,32052.0,439063.5,13,198,29939,253242,0,0
N1109,32052.0,439063.5,13,198,29939,253242,0,0
N2493,104231.5,69246.75,70,31,113736,84460,0,0
N662,32052.0,439063.5,13,198,29939,253242,0,0
N740,104231.5,69246.75,70,31,113736,84460,0,0
N116,104231.5,69246.75,70,31,113736,84460,0,0
N2184,32052.0,439063.5,13,198,29939,253242,0,0
N47,32052.0,439063.5,13,198,29939,253242,0,0
N815,125669.5,460664.5,77,198,127671,296580,0,0
N932,32052.0,439063.5,13,198,29939,253242,0,0
N1287,104231.5,69246.75,70,31,113736,84460,0,0
N1370,32052.0,439063.5,13,198,29939,253242,0,0
N1660,104231.5,69246.75,70,31,113736,84460,0,0
N2096,104231.5,69246.75,70,31,113736,84460,0,0
N1249,104231.5,69246.75,70,31,113736,84460,0,0
N184,104231.5,69246.75,70,31,113736,84460,0,0
N532,125669.5,460664.5,77,198,127671,296580,0,0
N2334,104231.5,69246.75,70,31,113736,84460,0,0
N2652,104231.5,69246.75,70,31,113736,84460,0,0
N263,104231.5,69246.75,70,31,113736,84460,0,0
N1913,32052.0,439063.5,13,198,29939,253242,0,0
N2785,32052.0,439063.5,13,198,29939,253242,0,0
N2666,32052.0,439063.5,13,198,29939,253242,0,0
N1981,32052.0,439063.5,13,198,29939,253242,0,0
N2444,32052.0,439063.5,13,198,29939,253242,0,0
N1027,104231.5,69246.75,70,31,113736,84460,0,0
N2872,32052.0,439063.5,13,198,29939,253242,0,0
N2361,125669.5,460664.5,77,198,127671,296580,0,0
N2789,104231.5,69246.75,70,31,113736,84460,0,0
N2550,104231.5,69246.75,70,31,113736,84460,0,0
N1511,104231.5,69246.75,70,31,113736,84460,0,0
N199,104231.5,69246.75,70,31,113736,84460,0,0
N78,104231.5,69246.75,70,31,113736,84460,0,0
N1011,32052.0,439063.5,13,198,29939,253242,0,0
N2204,104231.5,69246.75,70,31,113736,84460,0,0
N23,104231.5,69246.75,70,31,113736,84460,0,0
N734,104231.5,69246.75,70,31,113736,84460,0,0
N1664,104231.5,69246.75,70,31,113736,84460,0,0
N2558,104231.5,69246.75,70,31,113736,84460,0,0
N2743,32052.0,439063.5,13,198,29939,253242,0,0
N2077,32052.0,439063.5,13,198,29939,253242,0,0
N1083,32052.0,439063.5,13,198,29939,253242,0,0
N1580,32052.0,439063.5,13,198,29939,253242,0,0
N2845,104231.5,69246.75,70,31,113736,84460,0,0
N1043,104231.5,69246.75,70,31,113736,84460,0,0
N1795,125669.5,460664.5,77,198,127671,296580,0,0
N2424,104231.5,69246.75,70,31,113736,84460,0,0
N1227,104231.5,69246.75,70,31,113736,84460,0,0
N801,32052.0,439063.5,13,198,29939,253242,0,0
N4,104231.5,69246.75,70,31,113736,84460,0,0
N1816,32052.0,439063.5,13,198,29939,253242,0,0
N352,104231.5,69246.75,70,31,113736,84460,0,0
N1339,125669.5,460664.5,77,198,127671,296580,0,0
N1237,104231.5,69246.75,70,31,113736,84460,0,0
N457,104231.5,69246.75,70,31,113736,84460,0,0
N2037,125669.5,460664.5,77,198,127671,296580,0,0
N1087,104231.5,69246.75,70,31,113736,84460,0,0
N629,104231.5,69246.75,70,31,113736,84460,0,0
N2318,104231.5,69246.75,70,31,113736,84460,0,0
N1005,104231.5,69246.75,70,31,113736,84460,0,0
N2656,104231.5,69246.75,70,31,113736,84460,0,0
N1506,32052.0,439063.5,13,198,29939,253242,0,0
N2230,32052.0,439063.5,13,198,29939,253242,0,0
N2805,32052.0,439063.5,13,198,29939,253242,0,0
N1959,32052.0,439063.5,13,198,29939,253242,0,0
N876,104231.5,69246.75,70,31,113736,84460,0,0
N2737,104231.5,69246.75,70,31,113736,84460,0,0
N437,32052.0,439063.5,13,198,29939,253242,0,0
N2347,104231.5,69246.75,70,31,113736,84460,0,0
N2486,125669.5,460664.5,77,198,127671,296580,0,0
N2259,32052.0,439063.5,13,198,29939,253242,0,0
N2366,104231.5,69246.75,70,31,113736,84460,0,0
N1690,104231.5,69246.75,70,31,113736,84460,0,0
N2675,32052.0,439063.5,13,198,29939,253242,0,0
N1184,32052.0,439063.5,13,198,29939,253242,0,0
N1466,104231.5,69246.75,70,31,113736,84460,0,0
N2530,104231.5,69246.75,70,31,113736,84460,0,0
N2117,32052.0,439063.5,13,198,29939,253242,0,0
N685,104231.5,69246.75,70,31,113736,84460,0,0
N2247,104231.5,69246.75,70,31,113736,84460,0,0
