Node(Gold),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N14,24575.75,114009.5,10,46,35002,144120,0,0
N204,29969.75,124596.5,22,67,41268,157028,0,0
N391,29969.75,124596.5,22,67,41268,157028,0,0
N225,13212.25,34723.5,16,35,18929,52048,0,0
N694,13212.75,34723.0,17,34,18928,52049,0,0
N466,24575.75,114011.25,10,46,35002,144120,0,0
N461,29969.75,124596.5,22,67,41268,157028,0,0
N86,24575.75,114009.5,10,46,35002,144120,0,0
N408,24575.75,114009.5,10,46,35002,144120,0,0
N614,13212.25,34723.5,16,35,18929,52048,0,0
N711,29970.0,124599.0,22,67,41268,157028,0,0
N326,24575.75,114009.5,10,46,35002,144120,0,0
N556,29969.25,124597.0,21,68,41269,157027,0,0
N296,24575.75,114009.5,10,46,35002,144120,0,0
N549,13212.25,34723.5,16,35,18929,52048,0,0
N668,13213.25,34725.75,17,34,18928,52049,0,0
N103,13212.75,34723.0,17,34,18928,52049,0,0
N66,13212.75,34723.0,17,34,18928,52049,0,0
N353,13212.75,34723.0,17,34,18928,52049,0,0
N316,13212.75,34723.0,17,34,18928,52049,0,0
N230,29969.75,124596.5,22,67,41268,157028,0,0
N246,13213.25,34725.75,17,34,18928,52049,0,0
