Node(Gold),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N1146,53567.25,345113.375,56,364,135912,780401,0,0
N817,53568.75,345134.875,56,364,135912,780401,0,0
N938,49183.75,191990.625,52,150,125148,486044,0,0
N2311,53567.25,345113.375,56,364,135912,780401,0,0
N318,53567.25,345113.375,56,364,135912,780401,0,0
N904,53567.25,345118.625,56,364,135912,780401,0,0
N741,53567.25,345113.375,56,364,135912,780401,0,0
N1627,49186.0,192006.625,52,150,125148,486044,0,0
N751,53567.25,345113.375,56,364,135912,780401,0,0
N948,53567.25,345113.375,56,364,135912,780401,0,0
N1469,53568.75,345134.875,56,364,135912,780401,0,0
N1898,49183.75,191990.625,52,150,125148,486044,0,0
N2363,53567.25,345113.375,56,364,135912,780401,0,0
N1881,53567.25,345113.375,56,364,135912,780401,0,0
N2580,49183.75,191990.625,52,150,125148,486044,0,0
N1715,53567.25,345113.375,56,364,135912,780401,0,0
N685,83895.0,439861.5,98,474,197968,960626,0,0
N1922,53567.25,345113.375,56,364,135912,780401,0,0
N1685,83897.625,439887.25,98,474,197968,960626,0,0
N646,49186.0,192006.625,52,150,125148,486044,0,0
N2566,53568.75,345134.875,56,364,135912,780401,0,0
N673,49183.75,191990.625,52,150,125148,486044,0,0
N98,53567.25,345113.375,56,364,135912,780401,0,0
N1951,53567.25,345113.375,56,364,135912,780401,0,0
N496,53567.0,345113.625,55,365,135913,780400,0,0
N2038,53567.25,345118.625,56,364,135912,780401,0,0
N1224,53567.25,345113.375,56,364,135912,780401,0,0
N1466,49186.0,192006.625,52,150,125148,486044,0,0
N658,49183.75,191990.625,52,150,125148,486044,0,0
N1405,53567.25,345118.625,56,364,135912,780401,0,0
N2392,83895.25,439866.0,98,474,197968,960626,0,0
N162,53567.25,345113.375,56,364,135912,780401,0,0
N1564,53568.75,345134.875,56,364,135912,780401,0,0
N1786,49183.75,191992.375,52,150,125148,486044,0,0
N1431,53567.25,345113.375,56,364,135912,780401,0,0
N1185,83895.25,439866.0,98,474,197968,960626,0,0
N1785,49186.0,192006.625,52,150,125148,486044,0,0
N207,53568.75,345134.875,56,364,135912,780401,0,0
N2600,83897.375,439882.75,98,474,197968,960626,0,0
N786,83895.0,439861.5,98,474,197968,960626,0,0
N635,49183.75,191990.625,52,150,125148,486044,0,0
N1378,49186.0,192006.625,52,150,125148,486044,0,0
N1894,49183.75,191990.625,52,150,125148,486044,0,0
N1100,53567.5,345119.125,56,364,135912,780401,0,0
N1749,53568.75,345134.875,56,364,135912,780401,0,0
N1514,53567.25,345113.375,56,364,135912,780401,0,0
N1066,53568.75,345134.875,56,364,135912,780401,0,0
N2134,53568.75,345134.875,56,364,135912,780401,0,0
N482,53568.75,345134.875,56,364,135912,780401,0,0
N1722,53567.25,345113.375,56,364,135912,780401,0,0
N1510,49183.75,191990.625,52,150,125148,486044,0,0
N1474,49186.0,192006.625,52,150,125148,486044,0,0
N2399,49186.0,192006.625,52,150,125148,486044,0,0
N610,53567.25,345119.5,56,364,135912,780401,0,0
N121,53567.25,345113.375,56,364,135912,780401,0,0
N61,53568.75,345134.875,56,364,135912,780401,0,0
N1811,53567.25,345113.375,56,364,135912,780401,0,0
N366,53568.75,345140.125,56,364,135912,780401,0,0
N672,53567.25,345113.375,56,364,135912,780401,0,0
N304,83897.375,439882.75,98,474,197968,960626,0,0
N1498,53567.25,345113.375,56,364,135912,780401,0,0
N1424,53567.25,345113.375,56,364,135912,780401,0,0
N86,53567.25,345113.375,56,364,135912,780401,0,0
N913,53568.75,345134.875,56,364,135912,780401,0,0
