Node(Gold),Score,#1st neighbors,#2nd neighbors,#3rd neighbors
N1637,1662122.125,631,2177800,0
N1638,1662099.125,631,2177800,0
N1205,2149817.625,865,2996282,0
N1200,2128145.75,783,2698555,0
N1143,2128122.125,783,2698555,0
N1029,2149841.25,865,2996282,0
N2233,1662122.125,631,2177800,0
N2603,1503721.375,495,2143896,0
N2238,1683794.625,713,2475527,0
N2600,2149817.625,865,2996282,0
N1702,1683817.625,713,2475527,0
N2192,1683817.625,713,2475527,0
N2196,1662122.125,631,2177800,0
N355,1683794.625,713,2475527,0
N422,1683817.625,713,2475527,0
N2530,1683817.625,713,2475527,0
N583,1503721.375,495,2143896,0
N949,2149813.375,865,2996282,0
N948,1662122.125,631,2177800,0
N586,1683817.625,713,2475527,0
N2517,2749463.25,1047,3618011,0
N2045,2283439.625,895,3097256,0
N61,1683794.625,713,2475527,0
N2047,1683817.625,713,2475527,0
N459,1683817.625,713,2475527,0
N514,1662122.125,631,2177800,0
N516,1683812.375,713,2475527,0
N519,1662122.125,631,2177800,0
N452,1662122.125,631,2177800,0
N2123,1662116.0,631,2177800,0
N456,1683817.625,713,2475527,0
N635,1503721.375,495,2143896,0
N637,2128145.75,783,2698555,0
N636,1503721.375,495,2143896,0
N665,2149841.25,865,2996282,0
N1804,1503703.125,495,2143896,0
N2329,947688.625,420,1374707,0
N1801,2283439.625,895,3097256,0
N1967,1683794.625,713,2475527,0
N2291,1482025.875,413,1846169,0
N1411,1662099.125,631,2177800,0
N2460,1503703.125,495,2143896,0
N2340,1683817.625,713,2475527,0
N393,1662099.125,631,2177800,0
N2297,1662122.125,631,2177800,0
N644,1683817.625,713,2475527,0
N9,1683817.625,713,2475527,0
N646,1482007.625,413,1846169,0
N647,1662099.125,631,2177800,0
N640,2128122.125,783,2698555,0
N641,1683817.625,713,2475527,0
N642,1662122.125,631,2177800,0
N643,1482025.875,413,1846169,0
N1,1482025.875,413,1846169,0
N1146,2283439.625,895,3097256,0
N121,1683817.625,713,2475527,0
N120,1482025.875,413,1846169,0
N74,2283416.625,895,3097256,0
N1243,947682.625,420,1374707,0
N2110,767497.625,202,1042858,0
