Node(Unlabel),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N2589,258909.5,110238.5,111,44,264831,108924,0,0
N189,258914.0,110243.0,111,44,264831,108924,0,0
N2039,258914.0,110243.0,111,44,264831,108924,0,0
N2064,258909.5,110238.5,111,44,264831,108924,0,0
N1670,258914.0,110243.0,111,44,264831,108924,0,0
N180,258914.0,110243.0,111,44,264831,108924,0,0
N1935,258909.5,110238.5,111,44,264831,108924,0,0
N1637,258914.0,110243.0,111,44,264831,108924,0,0
N705,258909.5,110238.5,111,44,264831,108924,0,0
N830,258909.5,110238.5,111,44,264831,108924,0,0
N1879,258914.0,110243.0,111,44,264831,108924,0,0
N2119,258909.5,110238.5,111,44,264831,108924,0,0
N344,258909.5,110238.5,111,44,264831,108924,0,0
N1027,261750.0,119223.25,116,64,266666,113804,0,0
N204,258914.0,110243.0,111,44,264831,108924,0,0
N2273,261750.0,119223.25,116,64,266666,113804,0,0
N1078,258909.5,110238.5,111,44,264831,108924,0,0
N528,258914.0,110243.0,111,44,264831,108924,0,0
N1763,258909.5,110238.5,111,44,264831,108924,0,0
N1430,258914.0,110243.0,111,44,264831,108924,0,0
N1697,261750.0,119223.25,116,64,266666,113804,0,0
N2012,18189.0,20272.5,9,24,27231,18888,0,0
N1247,258909.5,110238.5,111,44,264831,108924,0,0
N812,258914.0,110243.0,111,44,264831,108924,0,0
N2133,258909.5,110238.5,111,44,264831,108924,0,0
N1688,258914.0,110243.0,111,44,264831,108924,0,0
N2222,258909.5,110238.5,111,44,264831,108924,0,0
N2562,258909.5,110238.5,111,44,264831,108924,0,0
N254,258909.5,110238.5,111,44,264831,108924,0,0
N1833,258909.5,110238.5,111,44,264831,108924,0,0
N2462,258909.5,110238.5,111,44,264831,108924,0,0
N1736,258914.0,110243.0,111,44,264831,108924,0,0
N1510,18189.0,20272.5,9,24,27231,18888,0,0
N1982,258909.5,110238.5,111,44,264831,108924,0,0
N1252,18189.0,20272.5,9,24,27231,18888,0,0
N322,258914.0,110243.0,111,44,264831,108924,0,0
N506,258909.5,110238.5,111,44,264831,108924,0,0
N989,258914.0,110243.0,111,44,264831,108924,0,0
N2530,258909.5,110238.5,111,44,264831,108924,0,0
N1215,258909.5,110238.5,111,44,264831,108924,0,0
N738,258914.0,110243.0,111,44,264831,108924,0,0
N1207,258909.5,110238.5,111,44,264831,108924,0,0
N868,258914.0,110243.0,111,44,264831,108924,0,0
N390,258909.5,110238.5,111,44,264831,108924,0,0
N260,258914.0,110243.0,111,44,264831,108924,0,0
N1250,258909.5,110238.5,111,44,264831,108924,0,0
N77,258914.0,110243.0,111,44,264831,108924,0,0
N1553,258909.5,110238.5,111,44,264831,108924,0,0
N1002,258909.5,110238.5,111,44,264831,108924,0,0
N1232,258909.5,110238.5,111,44,264831,108924,0,0
N1065,18189.0,20272.5,9,24,27231,18888,0,0
N366,258909.5,110238.5,111,44,264831,108924,0,0
N2003,258909.5,110238.5,111,44,264831,108924,0,0
N881,261750.0,119223.25,116,64,266666,113804,0,0
N883,258909.5,110238.5,111,44,264831,108924,0,0
N936,258909.5,110238.5,111,44,264831,108924,0,0
N84,258909.5,110238.5,111,44,264831,108924,0,0
N1509,261750.0,119223.25,116,64,266666,113804,0,0
N82,258914.0,110243.0,111,44,264831,108924,0,0
N2093,258914.0,110243.0,111,44,264831,108924,0,0
N1321,258914.0,110243.0,111,44,264831,108924,0,0
N2542,258914.0,110243.0,111,44,264831,108924,0,0
N1495,258914.0,110243.0,111,44,264831,108924,0,0
N2220,18189.0,20272.5,9,24,27231,18888,0,0
N1214,258914.0,110243.0,111,44,264831,108924,0,0
N2135,258914.0,110243.0,111,44,264831,108924,0,0
N891,261750.0,119223.25,116,64,266666,113804,0,0
N785,258909.5,110238.5,111,44,264831,108924,0,0
N620,258909.5,110238.5,111,44,264831,108924,0,0
N1779,258914.0,110243.0,111,44,264831,108924,0,0
N1293,258909.5,110238.5,111,44,264831,108924,0,0
