Node(Gold),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N3088,0,29061.5,0,143,0,35356,0,0
N1164,0,235351.375,0,134,0,249578,0,0
N899,0,22404.5,0,139,0,24547,0,0
N2205,0,206932.5,0,122,0,212246,0,0
N1507,0,251698.625,0,150,0,265553,0,0
N2793,0,28070.25,0,141,0,33930,0,0
N1631,0,24584.5,0,139,0,28281,0,0
N3432,0,97992.75,0,60,0,97276,0,0
N2344,0,195789.0,0,117,0,200028,0,0
N1987,0,227506.0,0,133,0,235859,0,0
N1553,0,250077.375,0,149,0,263397,0,0
N91,0,122422.75,0,74,0,132039,0,0
N625,0,189978.125,0,110,0,207349,0,0
N2430,0,27104.75,0,140,0,32420,0,0
N2568,0,27391.75,0,140,0,32892,0,0
N1933,0,231703.125,0,135,0,240589,0,0
N1151,0,23025.5,0,139,0,25612,0,0
N1932,0,113495.0,0,79,0,132838,0,0
N3058,0,28869.0,0,143,0,35095,0,0
N1541,0,250571.625,0,149,0,264080,0,0
N636,0,21587.0,0,139,0,23116,0,0
N1538,0,250624.125,0,149,0,264153,0,0
N2185,0,26259.25,0,139,0,31072,0,0
N809,0,22042.0,0,139,0,23921,0,0
N259,0,20057.0,0,138,0,20381,0,0
N79,0,19748.25,0,138,0,19841,0,0
N1835,0,237011.625,0,139,0,247106,0,0
N467,0,21206.0,0,139,0,22453,0,0
N766,0,206099.375,0,118,0,223356,0,0
N2063,0,25911.5,0,139,0,30507,0,0
N1262,0,107992.25,0,71,0,129829,0,0
N1293,0,23543.25,0,139,0,26491,0,0
N753,0,95346.0,0,60,0,114037,0,0
N639,0,92185.25,0,55,0,110171,0,0
N2051,0,221451.125,0,129,0,228943,0,0
N2048,0,25839.5,0,139,0,30391,0,0
N2192,0,208503.5,0,123,0,214053,0,0
N1279,0,23374.75,0,139,0,26202,0,0
N1243,0,107302.125,0,69,0,129027,0,0
N2321,0,26521.0,0,139,0,31504,0,0
N3072,0,28968.75,0,143,0,35227,0,0
N2826,0,154860.0,0,88,0,156411,0,0
N1505,0,24264.25,0,139,0,27745,0,0
N840,0,22317.75,0,139,0,24392,0,0
N1575,0,249159.125,0,149,0,262198,0,0
N1913,0,25397.0,0,139,0,29676,0,0
N144,0,129998.0,0,76,0,141403,0,0
N1135,0,22677.75,0,139,0,25008,0,0
N822,0,22136.5,0,139,0,24079,0,0
N2792,0,28018.5,0,141,0,33849,0,0
N3006,0,28684.5,0,142,0,34828,0,0
N903,0,22496.75,0,139,0,24701,0,0
N2133,0,111033.0,0,72,0,128072,0,0
N1346,0,23789.5,0,139,0,26917,0,0
N458,0,21112.25,0,139,0,22284,0,0
N2077,0,26193.0,0,139,0,30961,0,0
N344,0,154860.75,0,91,0,168982,0,0
N709,0,21774.25,0,139,0,23441,0,0
N1525,0,24417.25,0,139,0,28014,0,0
N3013,0,137277.75,0,79,0,137753,0,0
N3393,0,101505.75,0,60,0,100916,0,0
N1149,0,22941.25,0,139,0,25462,0,0
N1147,0,22763.0,0,139,0,25160,0,0
N327,0,20636.0,0,138,0,21434,0,0
N1886,0,25325.25,0,139,0,29553,0,0
N113,0,125864.5,0,75,0,136372,0,0
N2081,0,219449.625,0,128,0,226630,0,0
N309,0,20540.75,0,138,0,21261,0,0
N204,0,139201.5,0,82,0,151983,0,0
N1362,0,23868.75,0,139,0,27057,0,0
N1285,0,23462.0,0,139,0,26347,0,0
N1510,0,251520.125,0,151,0,265347,0,0
N2799,0,28126.5,0,141,0,34010,0,0
N2064,0,25982.5,0,139,0,30622,0,0
N2985,0,140108.25,0,82,0,140767,0,0
N2992,0,28638.75,0,142,0,34759,0,0
N1284,0,242850.0,0,140,0,257037,0,0
N1797,0,239183.375,0,138,0,249892,0,0
N2201,0,26324.5,0,139,0,31181,0,0
N3096,0,129315.25,0,73,0,129500,0,0
N1278,0,23295.25,0,139,0,26056,0,0
N3097,0,129162.25,0,73,0,129352,0,0
N3071,0,28919.0,0,143,0,35161,0,0
N444,0,88638.375,0,66,0,105177,0,0
N617,0,188807.625,0,110,0,206127,0,0
N2317,0,109663.875,0,71,0,125666,0,0
N854,0,211728.375,0,124,0,226613,0,0
N2806,0,28233.0,0,141,0,34168,0,0
N1793,0,25107.5,0,139,0,29179,0,0
N1261,0,241847.0,0,138,0,255999,0,0
N2569,0,27453.25,0,140,0,32983,0,0
N1762,0,24960.5,0,139,0,28926,0,0
N2322,0,26587.75,0,139,0,31610,0,0
N1809,0,25253.0,0,139,0,29429,0,0
N425,0,20924.25,0,139,0,21945,0,0
N154,0,131723.0,0,76,0,143523,0,0
N2821,0,155252.0,0,88,0,156837,0,0
N304,0,20445.0,0,138,0,21087,0,0
N1132,0,233656.125,0,133,0,247869,0,0
N2865,0,28391.5,0,142,0,34397,0,0
N468,0,21299.25,0,139,0,22621,0,0
N2531,0,181151.75,0,107,0,184371,0,0
N272,0,20154.75,0,138,0,20559,0,0
N391,0,89142.875,0,77,0,105431,0,0
N1900,0,114003.875,0,80,0,133935,0,0
N3015,0,28729.75,0,142,0,34896,0,0
N105,0,124384.75,0,75,0,134507,0,0
N2330,0,109492.875,0,71,0,125355,0,0
N1319,0,23632.25,0,139,0,26634,0,0
N404,0,162624.0,0,95,0,177534,0,0
N1954,0,25544.25,0,139,0,29917,0,0
N432,0,21018.5,0,139,0,22115,0,0
N2065,0,220623.875,0,129,0,227956,0,0
N359,0,89556.375,0,85,0,105604,0,0
N2215,0,205767.5,0,122,0,210918,0,0
N2018,0,112136.75,0,75,0,130269,0,0
N2331,0,196699.0,0,117,0,200988,0,0
N2324,0,26656.75,0,139,0,31715,0,0
N226,0,19952.5,0,138,0,20202,0,0
N2067,0,26053.25,0,139,0,30736,0,0
N2361,0,26786.75,0,140,0,31920,0,0
N508,0,174763.625,0,101,0,190851,0,0
